Safety,p,ov_method,CART_Gmean,CART_Max,CART_MinCART,CART_MinCART,3NN_Gmean,3NN_Max,3NN_Min3NN,3NN_Min3NN,LR_Gmean,LR_Max,LR_MinLR,LR_MinLR
-,-,-,0.94,0.97,0.93,0.93,0.97,0.98,0.98,0.94,0.00,0.94,0.00,0.00
Safety,p1,os_simple,0.95,0.97,0.95,0.93,0.97,0.95,0.98,0.97,0.00,0.77,0.24,0.00
Safety,p2,os_simple,0.95,0.98,0.95,0.93,0.97,0.95,0.98,0.97,0.00,0.76,0.24,0.00
Safety,p3,os_simple,0.96,0.97,0.95,0.94,0.97,0.95,0.98,0.97,0.00,0.76,0.27,0.00
Safety1,p1,os_simple,0.95,0.97,0.95,0.93,0.97,0.95,0.98,0.97,0.00,0.77,0.24,0.00
Safety1,p2,os_simple,0.95,0.97,0.95,0.93,0.97,0.95,0.98,0.97,0.00,0.76,0.24,0.00
Safety1,p3,os_simple,0.96,0.97,0.95,0.94,0.97,0.95,0.98,0.97,0.00,0.76,0.27,0.00
Safety2,p1,os_simple,0.95,0.97,0.95,0.93,0.97,0.95,0.98,0.97,0.00,0.77,0.25,0.00
Safety2,p2,os_simple,0.95,0.97,0.95,0.93,0.97,0.95,0.98,0.97,0.00,0.77,0.25,0.00
Safety2,p3,os_simple,0.95,0.97,0.95,0.93,0.97,0.95,0.98,0.97,0.00,0.76,0.26,0.00
Safety3,p1,os_simple,0.95,0.97,0.95,0.94,0.97,0.95,0.98,0.97,0.00,0.77,0.24,0.00
Safety3,p2,os_simple,0.95,0.97,0.95,0.93,0.97,0.95,0.98,0.97,0.00,0.76,0.24,0.00
Safety3,p3,os_simple,0.96,0.97,0.95,0.94,0.97,0.95,0.98,0.97,0.00,0.76,0.27,0.00
Safety,p1,os_classwise,0.95,0.98,0.95,0.92,0.97,0.95,0.98,0.97,0.58,0.53,0.64,0.57
Safety,p2,os_classwise,0.95,0.98,0.94,0.93,0.97,0.95,0.98,0.97,0.58,0.53,0.64,0.57
Safety,p3,os_classwise,0.95,0.98,0.95,0.93,0.97,0.95,0.98,0.97,0.58,0.54,0.64,0.57
Safety1,p1,os_classwise,0.95,0.98,0.95,0.92,0.97,0.95,0.98,0.97,0.58,0.53,0.64,0.57
Safety1,p2,os_classwise,0.95,0.98,0.95,0.93,0.97,0.95,0.98,0.97,0.58,0.53,0.64,0.57
Safety1,p3,os_classwise,0.95,0.98,0.95,0.93,0.97,0.95,0.98,0.97,0.58,0.54,0.64,0.57
Safety2,p1,os_classwise,0.95,0.98,0.95,0.93,0.97,0.95,0.98,0.97,0.58,0.53,0.64,0.57
Safety2,p2,os_classwise,0.96,0.98,0.95,0.94,0.97,0.95,0.98,0.97,0.58,0.53,0.64,0.57
Safety2,p3,os_classwise,0.95,0.97,0.95,0.93,0.97,0.95,0.98,0.97,0.58,0.54,0.64,0.57
Safety3,p1,os_classwise,0.95,0.98,0.95,0.93,0.97,0.95,0.98,0.97,0.58,0.53,0.64,0.57
Safety3,p2,os_classwise,0.95,0.98,0.94,0.94,0.97,0.95,0.98,0.97,0.58,0.53,0.64,0.57
Safety3,p3,os_classwise,0.95,0.98,0.95,0.93,0.97,0.95,0.98,0.97,0.58,0.54,0.64,0.57
