Safety,p,ov_method,CART_Gmean,CART_Max,CART_MinCART,CART_MinCART,3NN_Gmean,3NN_Max,3NN_Min3NN,3NN_Min3NN,LR_Gmean,LR_Max,LR_MinLR,LR_MinLR
-,-,-,+0.00,+0.00,+0.00,+0.00,+0.00,+0.00,+0.00,+0.00,+0.00,+0.00,+0.00,+0.00
Safety,p1,os_simple,+0.01,-0.00,+0.02,+0.01,+0.00,-0.02,+0.00,+0.03,+0.00,-0.17,+0.24,+0.00
Safety,p2,os_simple,+0.01,+0.00,+0.02,+0.01,+0.00,-0.02,+0.00,+0.03,+0.00,-0.17,+0.24,+0.00
Safety,p3,os_simple,+0.02,+0.00,+0.03,+0.02,+0.00,-0.02,+0.00,+0.03,+0.00,-0.17,+0.27,+0.00
Safety1,p1,os_simple,+0.01,+0.00,+0.02,+0.01,+0.00,-0.02,+0.00,+0.03,+0.00,-0.17,+0.24,+0.00
Safety1,p2,os_simple,+0.01,+0.00,+0.02,+0.01,+0.00,-0.02,+0.00,+0.03,+0.00,-0.17,+0.24,+0.00
Safety1,p3,os_simple,+0.01,+0.00,+0.02,+0.02,+0.00,-0.02,+0.00,+0.03,+0.00,-0.17,+0.27,+0.00
Safety2,p1,os_simple,+0.01,-0.00,+0.02,+0.00,+0.00,-0.02,+0.00,+0.03,+0.00,-0.17,+0.25,+0.00
Safety2,p2,os_simple,+0.01,+0.00,+0.02,+0.01,+0.00,-0.02,+0.00,+0.03,+0.00,-0.17,+0.25,+0.00
Safety2,p3,os_simple,+0.01,+0.00,+0.02,+0.01,+0.00,-0.02,+0.00,+0.03,+0.00,-0.17,+0.26,+0.00
Safety3,p1,os_simple,+0.01,+0.00,+0.02,+0.02,+0.00,-0.02,+0.00,+0.03,+0.00,-0.17,+0.24,+0.00
Safety3,p2,os_simple,+0.01,+0.00,+0.02,+0.01,+0.00,-0.02,+0.00,+0.03,+0.00,-0.17,+0.24,+0.00
Safety3,p3,os_simple,+0.01,+0.00,+0.02,+0.02,+0.00,-0.02,+0.00,+0.03,+0.00,-0.17,+0.27,+0.00
Safety,p1,os_classwise,+0.01,+0.00,+0.02,-0.01,+0.00,-0.02,+0.00,+0.03,+0.58,-0.40,+0.64,+0.57
Safety,p2,os_classwise,+0.01,+0.00,+0.01,+0.01,+0.00,-0.02,+0.00,+0.03,+0.58,-0.40,+0.64,+0.57
Safety,p3,os_classwise,+0.01,+0.00,+0.02,+0.01,+0.00,-0.02,+0.00,+0.03,+0.58,-0.40,+0.64,+0.57
Safety1,p1,os_classwise,+0.01,+0.00,+0.02,-0.01,+0.00,-0.02,+0.00,+0.03,+0.58,-0.40,+0.64,+0.57
Safety1,p2,os_classwise,+0.01,+0.00,+0.02,+0.01,+0.00,-0.02,+0.00,+0.03,+0.58,-0.40,+0.64,+0.57
Safety1,p3,os_classwise,+0.01,+0.00,+0.02,+0.01,+0.00,-0.02,+0.00,+0.03,+0.58,-0.40,+0.64,+0.57
Safety2,p1,os_classwise,+0.01,+0.00,+0.03,+0.00,+0.00,-0.02,+0.00,+0.03,+0.58,-0.40,+0.64,+0.57
Safety2,p2,os_classwise,+0.02,+0.00,+0.02,+0.02,+0.00,-0.02,+0.00,+0.03,+0.58,-0.40,+0.64,+0.57
Safety2,p3,os_classwise,+0.01,+0.00,+0.02,+0.00,+0.00,-0.02,+0.00,+0.03,+0.58,-0.40,+0.64,+0.57
Safety3,p1,os_classwise,+0.01,+0.01,+0.02,+0.01,+0.00,-0.02,+0.00,+0.03,+0.58,-0.40,+0.64,+0.57
Safety3,p2,os_classwise,+0.01,+0.00,+0.02,+0.02,+0.00,-0.02,+0.00,+0.03,+0.58,-0.40,+0.64,+0.57
Safety3,p3,os_classwise,+0.01,+0.00,+0.02,+0.01,+0.00,-0.02,+0.00,+0.03,+0.58,-0.40,+0.64,+0.57
