Safety,p,ov_method,CART_Gmean,CART_Max,CART_MinCART,CART_MinCART,3NN_Gmean,3NN_Max,3NN_Min3NN,3NN_Min3NN,LR_Gmean,LR_Max,LR_MinLR,LR_MinLR
-,-,-,0.68,0.91,0.67,0.52,0.69,0.94,0.70,0.51,0.00,1.00,0.00,0.00
Safety,p1,os_simple,0.69,0.91,0.65,0.56,0.72,0.86,0.74,0.60,0.00,0.84,0.00,0.03
Safety,p2,os_simple,0.70,0.92,0.67,0.57,0.74,0.86,0.77,0.62,0.00,0.85,0.00,0.03
Safety,p3,os_simple,0.69,0.92,0.67,0.53,0.76,0.89,0.80,0.62,0.00,0.85,0.00,0.04
Safety1,p1,os_simple,0.71,0.91,0.72,0.55,0.73,0.86,0.76,0.60,0.00,0.82,0.00,0.05
Safety1,p2,os_simple,0.72,0.92,0.71,0.57,0.74,0.86,0.76,0.61,0.00,0.83,0.00,0.05
Safety1,p3,os_simple,0.70,0.92,0.69,0.55,0.75,0.88,0.75,0.63,0.00,0.85,0.00,0.03
Safety2,p1,os_simple,0.71,0.91,0.70,0.56,0.73,0.86,0.71,0.64,0.00,0.84,0.00,0.03
Safety2,p2,os_simple,0.72,0.91,0.69,0.60,0.73,0.86,0.71,0.64,0.00,0.84,0.00,0.03
Safety2,p3,os_simple,0.71,0.91,0.71,0.55,0.74,0.86,0.75,0.62,0.00,0.84,0.00,0.04
Safety3,p1,os_simple,0.72,0.91,0.69,0.58,0.72,0.86,0.70,0.62,0.00,0.84,0.00,0.04
Safety3,p2,os_simple,0.71,0.91,0.69,0.57,0.74,0.86,0.75,0.62,0.00,0.85,0.00,0.04
Safety3,p3,os_simple,0.69,0.91,0.66,0.53,0.75,0.88,0.77,0.62,0.00,0.85,0.00,0.03
Safety,p1,os_classwise,0.70,0.91,0.69,0.56,0.74,0.86,0.77,0.62,0.41,0.58,0.21,0.54
Safety,p2,os_classwise,0.70,0.92,0.68,0.54,0.74,0.86,0.77,0.62,0.40,0.58,0.21,0.54
Safety,p3,os_classwise,0.69,0.92,0.66,0.55,0.76,0.89,0.80,0.62,0.41,0.57,0.21,0.55
Safety1,p1,os_classwise,0.71,0.92,0.71,0.54,0.74,0.86,0.75,0.62,0.41,0.56,0.23,0.54
Safety1,p2,os_classwise,0.72,0.92,0.68,0.58,0.74,0.86,0.75,0.62,0.41,0.56,0.23,0.54
Safety1,p3,os_classwise,0.70,0.91,0.68,0.54,0.75,0.88,0.76,0.62,0.42,0.56,0.24,0.53
Safety2,p1,os_classwise,0.71,0.92,0.70,0.55,0.74,0.86,0.75,0.62,0.41,0.56,0.24,0.53
Safety2,p2,os_classwise,0.70,0.91,0.68,0.56,0.74,0.86,0.75,0.62,0.41,0.56,0.23,0.54
Safety2,p3,os_classwise,0.69,0.92,0.67,0.53,0.74,0.86,0.77,0.62,0.41,0.57,0.23,0.54
Safety3,p1,os_classwise,0.71,0.91,0.68,0.57,0.74,0.86,0.76,0.62,0.41,0.56,0.23,0.53
Safety3,p2,os_classwise,0.70,0.91,0.71,0.54,0.74,0.86,0.76,0.62,0.41,0.57,0.23,0.53
Safety3,p3,os_classwise,0.71,0.92,0.71,0.55,0.75,0.88,0.77,0.62,0.41,0.57,0.22,0.54
