Safety,p,ov_method,CART_Gmean,CART_Max,CART_MinCART,CART_MinCART,3NN_Gmean,3NN_Max,3NN_Min3NN,3NN_Min3NN,LR_Gmean,LR_Max,LR_MinLR,LR_MinLR
-,-,-,+0.00,+0.00,+0.00,+0.00,+0.00,+0.00,+0.00,+0.00,+0.00,+0.00,+0.00,+0.00
Safety,p1,os_simple,+0.01,-0.00,-0.02,+0.04,+0.03,-0.08,+0.04,+0.09,+0.00,-0.16,+0.00,+0.03
Safety,p2,os_simple,+0.02,+0.00,+0.00,+0.05,+0.05,-0.08,+0.07,+0.11,+0.00,-0.15,+0.00,+0.03
Safety,p3,os_simple,+0.01,+0.00,-0.00,+0.02,+0.07,-0.05,+0.10,+0.11,+0.00,-0.15,+0.00,+0.04
Safety1,p1,os_simple,+0.03,-0.00,+0.05,+0.03,+0.04,-0.08,+0.06,+0.09,+0.00,-0.18,+0.00,+0.05
Safety1,p2,os_simple,+0.03,+0.00,+0.04,+0.05,+0.04,-0.08,+0.06,+0.10,+0.00,-0.17,+0.00,+0.05
Safety1,p3,os_simple,+0.02,+0.01,+0.02,+0.03,+0.06,-0.06,+0.05,+0.12,+0.00,-0.15,+0.00,+0.03
Safety2,p1,os_simple,+0.03,-0.01,+0.03,+0.04,+0.04,-0.08,+0.01,+0.13,+0.00,-0.16,+0.00,+0.03
Safety2,p2,os_simple,+0.04,-0.01,+0.02,+0.08,+0.04,-0.08,+0.01,+0.13,+0.00,-0.16,+0.00,+0.03
Safety2,p3,os_simple,+0.03,-0.00,+0.04,+0.03,+0.04,-0.08,+0.05,+0.11,+0.00,-0.16,+0.00,+0.04
Safety3,p1,os_simple,+0.03,-0.00,+0.02,+0.07,+0.03,-0.08,+0.00,+0.11,+0.00,-0.16,+0.00,+0.04
Safety3,p2,os_simple,+0.03,+0.00,+0.02,+0.05,+0.04,-0.08,+0.05,+0.11,+0.00,-0.15,+0.00,+0.04
Safety3,p3,os_simple,+0.00,-0.00,-0.01,+0.02,+0.05,-0.06,+0.07,+0.11,+0.00,-0.15,+0.00,+0.03
Safety,p1,os_classwise,+0.02,-0.00,+0.02,+0.04,+0.05,-0.08,+0.07,+0.11,+0.41,-0.42,+0.21,+0.54
Safety,p2,os_classwise,+0.02,+0.00,+0.01,+0.02,+0.05,-0.08,+0.07,+0.11,+0.40,-0.42,+0.21,+0.54
Safety,p3,os_classwise,+0.01,+0.00,-0.01,+0.03,+0.07,-0.05,+0.10,+0.11,+0.41,-0.43,+0.21,+0.55
Safety1,p1,os_classwise,+0.02,+0.00,+0.04,+0.02,+0.04,-0.08,+0.05,+0.12,+0.41,-0.44,+0.23,+0.54
Safety1,p2,os_classwise,+0.03,+0.01,+0.01,+0.07,+0.04,-0.08,+0.05,+0.11,+0.41,-0.44,+0.23,+0.54
Safety1,p3,os_classwise,+0.01,-0.00,+0.01,+0.02,+0.05,-0.06,+0.06,+0.11,+0.42,-0.44,+0.24,+0.53
Safety2,p1,os_classwise,+0.03,+0.01,+0.03,+0.03,+0.04,-0.08,+0.05,+0.11,+0.41,-0.44,+0.24,+0.53
Safety2,p2,os_classwise,+0.02,+0.00,+0.00,+0.04,+0.04,-0.08,+0.05,+0.11,+0.41,-0.44,+0.23,+0.54
Safety2,p3,os_classwise,+0.01,+0.00,+0.00,+0.02,+0.05,-0.08,+0.07,+0.11,+0.41,-0.43,+0.23,+0.54
Safety3,p1,os_classwise,+0.02,-0.01,+0.01,+0.05,+0.05,-0.08,+0.06,+0.11,+0.41,-0.44,+0.23,+0.53
Safety3,p2,os_classwise,+0.02,-0.00,+0.04,+0.02,+0.05,-0.08,+0.06,+0.11,+0.41,-0.43,+0.23,+0.53
Safety3,p3,os_classwise,+0.03,+0.01,+0.04,+0.03,+0.05,-0.06,+0.07,+0.11,+0.41,-0.43,+0.22,+0.54
