Safety,p,ov_method,CART_Gmean,CART_Max,CART_MinCART,CART_MinCART,3NN_Gmean,3NN_Max,3NN_Min3NN,3NN_Min3NN,LR_Gmean,LR_Max,LR_MinLR,LR_MinLR
-,-,-,0.44,0.81,0.43,0.25,0.41,0.90,0.39,0.20,0.00,1.00,0.00,0.00
Safety,p1,os_simple,0.44,0.83,0.39,0.26,0.43,0.73,0.42,0.27,0.00,0.97,0.00,0.00
Safety,p2,os_simple,0.42,0.82,0.38,0.24,0.44,0.74,0.42,0.27,0.00,0.97,0.00,0.00
Safety,p3,os_simple,0.44,0.83,0.42,0.25,0.50,0.83,0.50,0.30,0.00,0.95,0.02,0.00
Safety1,p1,os_simple,0.46,0.83,0.45,0.26,0.44,0.73,0.49,0.24,0.00,0.96,0.02,0.00
Safety1,p2,os_simple,0.44,0.82,0.42,0.26,0.45,0.73,0.47,0.26,0.00,0.97,0.02,0.00
Safety1,p3,os_simple,0.43,0.82,0.38,0.25,0.45,0.81,0.44,0.27,0.00,0.97,0.02,0.00
Safety2,p1,os_simple,0.45,0.82,0.42,0.26,0.43,0.73,0.42,0.26,0.00,0.97,0.01,0.00
Safety2,p2,os_simple,0.46,0.82,0.43,0.27,0.44,0.73,0.44,0.26,0.00,0.97,0.02,0.00
Safety2,p3,os_simple,0.41,0.82,0.40,0.22,0.42,0.74,0.40,0.25,0.00,0.97,0.02,0.00
Safety3,p1,os_simple,0.43,0.83,0.41,0.23,0.43,0.73,0.40,0.27,0.00,0.97,0.01,0.00
Safety3,p2,os_simple,0.45,0.82,0.44,0.25,0.44,0.73,0.42,0.28,0.00,0.97,0.01,0.00
Safety3,p3,os_simple,0.46,0.83,0.41,0.29,0.47,0.82,0.46,0.27,0.00,0.96,0.02,0.00
Safety,p1,os_classwise,0.47,0.83,0.42,0.30,0.45,0.73,0.45,0.28,0.20,0.69,0.03,0.40
Safety,p2,os_classwise,0.45,0.82,0.42,0.26,0.46,0.73,0.48,0.28,0.21,0.66,0.03,0.41
Safety,p3,os_classwise,0.46,0.83,0.44,0.26,0.49,0.82,0.50,0.29,0.28,0.64,0.08,0.42
Safety1,p1,os_classwise,0.45,0.83,0.41,0.27,0.44,0.73,0.40,0.29,0.21,0.69,0.04,0.38
Safety1,p2,os_classwise,0.47,0.82,0.45,0.28,0.45,0.73,0.42,0.31,0.23,0.67,0.05,0.39
Safety1,p3,os_classwise,0.46,0.83,0.42,0.28,0.47,0.81,0.45,0.28,0.26,0.64,0.07,0.39
Safety2,p1,os_classwise,0.47,0.82,0.42,0.30,0.45,0.73,0.42,0.29,0.21,0.69,0.04,0.38
Safety2,p2,os_classwise,0.47,0.83,0.45,0.28,0.46,0.73,0.44,0.30,0.21,0.67,0.03,0.39
Safety2,p3,os_classwise,0.47,0.82,0.43,0.29,0.46,0.73,0.47,0.28,0.22,0.66,0.04,0.41
Safety3,p1,os_classwise,0.46,0.82,0.43,0.28,0.45,0.73,0.45,0.28,0.20,0.69,0.03,0.39
Safety3,p2,os_classwise,0.48,0.83,0.43,0.30,0.45,0.73,0.45,0.28,0.21,0.66,0.03,0.40
Safety3,p3,os_classwise,0.47,0.83,0.44,0.28,0.48,0.81,0.48,0.28,0.27,0.64,0.07,0.42
