Safety,p,ov_method,CART_Gmean,CART_Max,CART_MinCART,CART_MinCART,3NN_Gmean,3NN_Max,3NN_Min3NN,3NN_Min3NN,LR_Gmean,LR_Max,LR_MinLR,LR_MinLR
-,-,-,+0.00,+0.00,+0.00,+0.00,+0.00,+0.00,+0.00,+0.00,+0.00,+0.00,+0.00,+0.00
Safety,p1,os_simple,-0.01,+0.02,-0.05,+0.01,+0.02,-0.17,+0.03,+0.07,+0.00,-0.03,+0.00,+0.00
Safety,p2,os_simple,-0.02,+0.01,-0.05,-0.01,+0.02,-0.16,+0.03,+0.07,+0.00,-0.03,+0.00,+0.00
Safety,p3,os_simple,-0.00,+0.02,-0.01,+0.00,+0.09,-0.07,+0.11,+0.10,+0.00,-0.05,+0.02,+0.00
Safety1,p1,os_simple,+0.01,+0.02,+0.01,+0.01,+0.03,-0.17,+0.10,+0.04,+0.00,-0.04,+0.02,+0.00
Safety1,p2,os_simple,+0.00,+0.01,-0.02,+0.01,+0.03,-0.17,+0.08,+0.06,+0.00,-0.03,+0.02,+0.00
Safety1,p3,os_simple,-0.02,+0.01,-0.05,+0.00,+0.04,-0.10,+0.05,+0.07,+0.00,-0.03,+0.02,+0.00
Safety2,p1,os_simple,+0.00,+0.01,-0.01,+0.01,+0.02,-0.17,+0.03,+0.06,+0.00,-0.03,+0.01,+0.00
Safety2,p2,os_simple,+0.01,+0.01,+0.00,+0.02,+0.02,-0.17,+0.05,+0.06,+0.00,-0.03,+0.02,+0.00
Safety2,p3,os_simple,-0.03,+0.01,-0.04,-0.03,+0.01,-0.16,+0.01,+0.05,+0.00,-0.03,+0.02,+0.00
Safety3,p1,os_simple,-0.02,+0.02,-0.03,-0.02,+0.02,-0.17,+0.01,+0.07,+0.00,-0.03,+0.01,+0.00
Safety3,p2,os_simple,+0.00,+0.01,+0.00,+0.00,+0.03,-0.17,+0.03,+0.08,+0.00,-0.03,+0.01,+0.00
Safety3,p3,os_simple,+0.02,+0.02,-0.03,+0.04,+0.05,-0.08,+0.07,+0.07,+0.00,-0.04,+0.02,+0.00
Safety,p1,os_classwise,+0.03,+0.02,-0.02,+0.05,+0.04,-0.17,+0.06,+0.08,+0.20,-0.31,+0.03,+0.40
Safety,p2,os_classwise,+0.00,+0.01,-0.01,+0.01,+0.05,-0.17,+0.09,+0.08,+0.21,-0.34,+0.03,+0.41
Safety,p3,os_classwise,+0.01,+0.02,+0.01,+0.01,+0.08,-0.08,+0.11,+0.09,+0.28,-0.36,+0.08,+0.42
Safety1,p1,os_classwise,+0.01,+0.02,-0.02,+0.02,+0.03,-0.17,+0.00,+0.09,+0.21,-0.31,+0.04,+0.38
Safety1,p2,os_classwise,+0.03,+0.02,+0.01,+0.03,+0.04,-0.17,+0.03,+0.11,+0.23,-0.33,+0.05,+0.39
Safety1,p3,os_classwise,+0.01,+0.02,-0.01,+0.03,+0.06,-0.10,+0.06,+0.08,+0.26,-0.36,+0.07,+0.39
Safety2,p1,os_classwise,+0.02,+0.01,-0.01,+0.05,+0.03,-0.17,+0.03,+0.09,+0.21,-0.31,+0.04,+0.38
Safety2,p2,os_classwise,+0.02,+0.02,+0.02,+0.03,+0.04,-0.17,+0.05,+0.10,+0.21,-0.33,+0.03,+0.39
Safety2,p3,os_classwise,+0.03,+0.01,+0.00,+0.04,+0.05,-0.17,+0.08,+0.08,+0.22,-0.34,+0.04,+0.41
Safety3,p1,os_classwise,+0.02,+0.01,-0.00,+0.03,+0.04,-0.17,+0.06,+0.08,+0.20,-0.31,+0.03,+0.39
Safety3,p2,os_classwise,+0.03,+0.02,+0.00,+0.05,+0.04,-0.17,+0.05,+0.08,+0.21,-0.34,+0.03,+0.40
Safety3,p3,os_classwise,+0.03,+0.02,+0.01,+0.03,+0.07,-0.10,+0.09,+0.08,+0.27,-0.36,+0.07,+0.42
