Safety,p,ov_method,CART_Gmean,CART_Max,CART_MinCART,CART_MinCART,3NN_Gmean,3NN_Max,3NN_Min3NN,3NN_Min3NN,LR_Gmean,LR_Max,LR_MinLR,LR_MinLR
-,-,-,+0.00,+0.00,+0.00,+0.00,+0.00,+0.00,+0.00,+0.00,+0.00,+0.00,+0.00,+0.00
Safety,p1,os_simple,-0.01,+0.00,+0.00,-0.02,+0.03,-0.07,+0.09,+0.07,+0.19,-0.19,+0.23,+0.04
Safety,p2,os_simple,+0.00,-0.00,-0.01,+0.02,+0.03,-0.07,+0.09,+0.07,+0.21,-0.18,+0.20,+0.06
Safety,p3,os_simple,+0.01,+0.01,+0.02,+0.00,+0.04,-0.05,+0.09,+0.07,+0.20,-0.18,+0.25,+0.04
Safety1,p1,os_simple,-0.01,+0.00,+0.01,-0.03,+0.03,-0.07,+0.09,+0.07,+0.19,-0.19,+0.23,+0.04
Safety1,p2,os_simple,+0.01,+0.00,-0.00,+0.02,+0.03,-0.07,+0.09,+0.07,+0.21,-0.18,+0.20,+0.06
Safety1,p3,os_simple,+0.01,+0.00,+0.04,-0.01,+0.04,-0.05,+0.09,+0.07,+0.20,-0.18,+0.25,+0.04
Safety2,p1,os_simple,-0.01,+0.00,+0.00,-0.03,+0.03,-0.07,+0.09,+0.07,+0.19,-0.19,+0.23,+0.04
Safety2,p2,os_simple,-0.00,+0.00,+0.00,-0.01,+0.03,-0.07,+0.09,+0.06,+0.19,-0.19,+0.23,+0.04
Safety2,p3,os_simple,-0.01,+0.00,+0.02,-0.03,+0.03,-0.07,+0.09,+0.07,+0.21,-0.18,+0.20,+0.06
Safety3,p1,os_simple,-0.01,+0.00,+0.01,-0.03,+0.03,-0.07,+0.09,+0.07,+0.19,-0.19,+0.23,+0.04
Safety3,p2,os_simple,+0.01,+0.00,+0.00,+0.02,+0.03,-0.07,+0.09,+0.07,+0.21,-0.18,+0.20,+0.06
Safety3,p3,os_simple,+0.00,+0.00,+0.02,-0.01,+0.04,-0.05,+0.09,+0.07,+0.20,-0.18,+0.25,+0.04
Safety,p1,os_classwise,-0.02,+0.01,-0.00,-0.06,+0.03,-0.07,+0.09,+0.07,+0.59,-0.41,+0.60,+0.63
Safety,p2,os_classwise,-0.01,+0.00,-0.02,+0.00,+0.03,-0.07,+0.09,+0.07,+0.60,-0.42,+0.60,+0.66
Safety,p3,os_classwise,-0.00,-0.01,+0.00,+0.00,+0.04,-0.05,+0.09,+0.07,+0.59,-0.42,+0.60,+0.66
Safety1,p1,os_classwise,-0.01,+0.01,+0.02,-0.06,+0.03,-0.07,+0.09,+0.07,+0.59,-0.41,+0.60,+0.63
Safety1,p2,os_classwise,+0.00,+0.01,-0.00,+0.01,+0.03,-0.07,+0.09,+0.07,+0.60,-0.42,+0.60,+0.66
Safety1,p3,os_classwise,-0.01,+0.00,+0.00,-0.03,+0.04,-0.05,+0.09,+0.07,+0.59,-0.42,+0.60,+0.66
Safety2,p1,os_classwise,-0.02,+0.01,+0.00,-0.05,+0.03,-0.07,+0.09,+0.07,+0.59,-0.41,+0.60,+0.63
Safety2,p2,os_classwise,+0.01,+0.01,+0.00,+0.01,+0.03,-0.07,+0.09,+0.07,+0.59,-0.41,+0.60,+0.64
Safety2,p3,os_classwise,+0.00,+0.01,-0.00,+0.00,+0.03,-0.07,+0.09,+0.07,+0.59,-0.42,+0.60,+0.66
Safety3,p1,os_classwise,-0.02,+0.01,+0.00,-0.06,+0.03,-0.07,+0.09,+0.07,+0.59,-0.41,+0.60,+0.63
Safety3,p2,os_classwise,+0.01,+0.00,-0.00,+0.02,+0.03,-0.07,+0.09,+0.07,+0.60,-0.42,+0.60,+0.66
Safety3,p3,os_classwise,-0.00,+0.00,+0.01,-0.02,+0.04,-0.05,+0.09,+0.07,+0.59,-0.42,+0.60,+0.66
