Safety,p,ov_method,CART_Gmean,CART_Max,CART_MinCART,CART_MinCART,CART_MinCART,3NN_Gmean,3NN_Max,3NN_Min3NN,3NN_Min3NN,3NN_Min3NN,LR_Gmean,LR_Max,LR_MinLR,LR_MinLR,LR_MinLR
-,-,-,0.00,0.80,0.23,0.14,0.00,0.00,0.93,0.09,0.00,0.00,0.00,0.94,0.11,0.29,0.00
Safety,p1,os_simple,0.00,0.83,0.23,0.20,0.00,0.23,0.67,0.09,0.20,0.23,0.00,0.92,0.17,0.31,0.00
Safety,p2,os_simple,0.24,0.83,0.23,0.11,0.15,0.27,0.70,0.14,0.23,0.23,0.00,0.92,0.11,0.31,0.00
Safety,p3,os_simple,0.34,0.82,0.26,0.29,0.23,0.24,0.83,0.17,0.14,0.15,0.00,0.91,0.20,0.34,0.00
Safety1,p1,os_simple,0.00,0.82,0.20,0.06,0.00,0.17,0.66,0.09,0.20,0.08,0.00,0.91,0.17,0.29,0.00
Safety1,p2,os_simple,0.00,0.82,0.20,0.03,0.00,0.17,0.66,0.09,0.20,0.08,0.00,0.91,0.17,0.29,0.00
Safety1,p3,os_simple,0.24,0.81,0.11,0.23,0.15,0.28,0.75,0.17,0.20,0.23,0.00,0.91,0.23,0.34,0.00
Safety2,p1,os_simple,0.00,0.83,0.23,0.11,0.00,0.17,0.66,0.09,0.20,0.08,0.00,0.91,0.17,0.29,0.00
Safety2,p2,os_simple,0.00,0.82,0.23,0.11,0.00,0.17,0.66,0.09,0.20,0.08,0.00,0.91,0.17,0.29,0.00
Safety2,p3,os_simple,0.24,0.80,0.26,0.20,0.08,0.27,0.75,0.14,0.23,0.23,0.23,0.92,0.14,0.29,0.08
Safety3,p1,os_simple,0.00,0.82,0.23,0.11,0.00,0.17,0.66,0.09,0.20,0.08,0.00,0.91,0.17,0.29,0.00
Safety3,p2,os_simple,0.28,0.82,0.26,0.20,0.15,0.28,0.70,0.14,0.26,0.23,0.00,0.92,0.09,0.34,0.00
Safety3,p3,os_simple,0.26,0.77,0.11,0.31,0.15,0.27,0.76,0.17,0.17,0.23,0.00,0.91,0.23,0.34,0.00
Safety,p1,os_classwise,0.00,0.84,0.17,0.17,0.00,0.27,0.65,0.17,0.20,0.23,0.30,0.87,0.20,0.29,0.15
Safety,p2,os_classwise,0.23,0.83,0.14,0.31,0.08,0.27,0.65,0.17,0.20,0.23,0.30,0.86,0.23,0.26,0.15
Safety,p3,os_classwise,0.26,0.81,0.29,0.26,0.08,0.24,0.83,0.17,0.14,0.15,0.29,0.86,0.23,0.23,0.15
Safety1,p1,os_classwise,0.00,0.82,0.11,0.20,0.00,0.28,0.65,0.17,0.23,0.23,0.35,0.86,0.20,0.29,0.31
Safety1,p2,os_classwise,0.00,0.86,0.26,0.26,0.00,0.28,0.65,0.17,0.23,0.23,0.28,0.86,0.17,0.26,0.15
Safety1,p3,os_classwise,0.21,0.78,0.29,0.11,0.08,0.27,0.73,0.17,0.17,0.23,0.24,0.87,0.23,0.23,0.08
Safety2,p1,os_classwise,0.19,0.84,0.14,0.14,0.08,0.27,0.65,0.17,0.20,0.23,0.31,0.87,0.17,0.29,0.23
Safety2,p2,os_classwise,0.23,0.82,0.17,0.26,0.08,0.27,0.65,0.17,0.20,0.23,0.28,0.86,0.17,0.26,0.15
Safety2,p3,os_classwise,0.25,0.80,0.11,0.26,0.15,0.27,0.65,0.17,0.20,0.23,0.29,0.87,0.20,0.26,0.15
Safety3,p1,os_classwise,0.24,0.81,0.29,0.20,0.08,0.27,0.65,0.17,0.20,0.23,0.35,0.86,0.20,0.29,0.31
Safety3,p2,os_classwise,0.26,0.83,0.14,0.26,0.15,0.27,0.65,0.17,0.20,0.23,0.28,0.87,0.17,0.26,0.15
Safety3,p3,os_classwise,0.00,0.77,0.23,0.20,0.00,0.27,0.73,0.17,0.17,0.23,0.29,0.87,0.20,0.26,0.15
