Safety,p,ov_method,CART_Gmean,CART_Max,CART_MinCART,CART_MinCART,CART_MinCART,3NN_Gmean,3NN_Max,3NN_Min3NN,3NN_Min3NN,3NN_Min3NN,LR_Gmean,LR_Max,LR_MinLR,LR_MinLR,LR_MinLR
-,-,-,+0.00,+0.00,+0.00,+0.00,+0.00,+0.00,+0.00,+0.00,+0.00,+0.00,+0.00,+0.00,+0.00,+0.00,+0.00
Safety,p1,os_simple,+0.00,+0.02,+0.00,+0.06,+0.00,+0.23,-0.26,+0.00,+0.20,+0.23,+0.00,-0.02,+0.06,+0.03,+0.00
Safety,p2,os_simple,+0.24,+0.03,+0.00,-0.03,+0.15,+0.27,-0.23,+0.06,+0.23,+0.23,+0.00,-0.02,+0.00,+0.03,+0.00
Safety,p3,os_simple,+0.34,+0.01,+0.03,+0.14,+0.23,+0.24,-0.10,+0.09,+0.14,+0.15,+0.00,-0.03,+0.09,+0.06,+0.00
Safety1,p1,os_simple,+0.00,+0.02,-0.03,-0.09,+0.00,+0.17,-0.27,+0.00,+0.20,+0.08,+0.00,-0.03,+0.06,+0.00,+0.00
Safety1,p2,os_simple,+0.00,+0.02,-0.03,-0.11,+0.00,+0.17,-0.27,+0.00,+0.20,+0.08,+0.00,-0.03,+0.06,+0.00,+0.00
Safety1,p3,os_simple,+0.24,+0.01,-0.11,+0.09,+0.15,+0.28,-0.18,+0.09,+0.20,+0.23,+0.00,-0.03,+0.11,+0.06,+0.00
Safety2,p1,os_simple,+0.00,+0.03,+0.00,-0.03,+0.00,+0.17,-0.27,+0.00,+0.20,+0.08,+0.00,-0.03,+0.06,+0.00,+0.00
Safety2,p2,os_simple,+0.00,+0.02,+0.00,-0.03,+0.00,+0.17,-0.27,+0.00,+0.20,+0.08,+0.00,-0.03,+0.06,+0.00,+0.00
Safety2,p3,os_simple,+0.24,+0.00,+0.03,+0.06,+0.08,+0.27,-0.18,+0.06,+0.23,+0.23,+0.23,-0.02,+0.03,+0.00,+0.08
Safety3,p1,os_simple,+0.00,+0.02,+0.00,-0.03,+0.00,+0.17,-0.27,+0.00,+0.20,+0.08,+0.00,-0.03,+0.06,+0.00,+0.00
Safety3,p2,os_simple,+0.28,+0.01,+0.03,+0.06,+0.15,+0.28,-0.23,+0.06,+0.26,+0.23,+0.00,-0.02,-0.03,+0.06,+0.00
Safety3,p3,os_simple,+0.26,-0.03,-0.11,+0.17,+0.15,+0.27,-0.17,+0.09,+0.17,+0.23,+0.00,-0.03,+0.11,+0.06,+0.00
Safety,p1,os_classwise,+0.00,+0.03,-0.06,+0.03,+0.00,+0.27,-0.28,+0.09,+0.20,+0.23,+0.30,-0.07,+0.09,+0.00,+0.15
Safety,p2,os_classwise,+0.23,+0.03,-0.09,+0.17,+0.08,+0.27,-0.28,+0.09,+0.20,+0.23,+0.30,-0.07,+0.11,-0.03,+0.15
Safety,p3,os_classwise,+0.26,+0.00,+0.06,+0.11,+0.08,+0.24,-0.10,+0.09,+0.14,+0.15,+0.29,-0.07,+0.11,-0.06,+0.15
Safety1,p1,os_classwise,+0.00,+0.02,-0.11,+0.06,+0.00,+0.28,-0.28,+0.09,+0.23,+0.23,+0.35,-0.08,+0.09,+0.00,+0.31
Safety1,p2,os_classwise,+0.00,+0.05,+0.03,+0.11,+0.00,+0.28,-0.28,+0.09,+0.23,+0.23,+0.28,-0.07,+0.06,-0.03,+0.15
Safety1,p3,os_classwise,+0.21,-0.02,+0.06,-0.03,+0.08,+0.27,-0.20,+0.09,+0.17,+0.23,+0.24,-0.07,+0.11,-0.06,+0.08
Safety2,p1,os_classwise,+0.19,+0.04,-0.09,+0.00,+0.08,+0.27,-0.28,+0.09,+0.20,+0.23,+0.31,-0.07,+0.06,+0.00,+0.23
Safety2,p2,os_classwise,+0.23,+0.01,-0.06,+0.11,+0.08,+0.27,-0.28,+0.09,+0.20,+0.23,+0.28,-0.07,+0.06,-0.03,+0.15
Safety2,p3,os_classwise,+0.25,-0.00,-0.11,+0.11,+0.15,+0.27,-0.28,+0.09,+0.20,+0.23,+0.29,-0.07,+0.09,-0.03,+0.15
Safety3,p1,os_classwise,+0.24,+0.01,+0.06,+0.06,+0.08,+0.27,-0.28,+0.09,+0.20,+0.23,+0.35,-0.07,+0.09,+0.00,+0.31
Safety3,p2,os_classwise,+0.26,+0.02,-0.09,+0.11,+0.15,+0.27,-0.28,+0.09,+0.20,+0.23,+0.28,-0.07,+0.06,-0.03,+0.15
Safety3,p3,os_classwise,+0.00,-0.04,+0.00,+0.06,+0.00,+0.27,-0.20,+0.09,+0.17,+0.23,+0.29,-0.07,+0.09,-0.03,+0.15
