Safety,p,ov_method,CART_Gmean,CART_Max,CART_MinCART,CART_MinCART,CART_MinCART,3NN_Gmean,3NN_Max,3NN_Min3NN,3NN_Min3NN,3NN_Min3NN,LR_Gmean,LR_Max,LR_MinLR,LR_MinLR,LR_MinLR
-,-,-,+0.00,+0.00,+0.00,+0.00,+0.00,+0.00,+0.00,+0.00,+0.00,+0.00,+0.00,+0.00,+0.00,+0.00,+0.00
Safety,p1,os_simple,-0.01,+0.00,+0.06,-0.11,+0.05,+0.04,-0.11,+0.00,+0.20,+0.00,+0.29,-0.08,+0.15,+0.49,+0.15
Safety,p2,os_simple,-0.01,+0.00,+0.06,-0.11,+0.05,+0.06,-0.11,+0.00,+0.23,+0.05,+0.38,-0.08,+0.19,+0.49,+0.30
Safety,p3,os_simple,-0.00,+0.00,+0.06,-0.09,+0.05,+0.08,-0.05,+0.02,+0.23,+0.05,+0.27,-0.08,+0.19,+0.51,+0.10
Safety1,p1,os_simple,-0.03,+0.00,+0.06,-0.17,+0.05,+0.05,-0.11,+0.00,+0.23,+0.00,+0.26,-0.10,+0.19,+0.51,+0.10
Safety1,p2,os_simple,-0.02,+0.01,+0.08,-0.14,+0.05,+0.05,-0.11,+0.00,+0.23,+0.00,+0.22,-0.09,+0.21,+0.54,+0.05
Safety1,p3,os_simple,-0.02,-0.00,+0.06,-0.14,+0.05,+0.06,-0.06,+0.00,+0.23,+0.00,+0.31,-0.08,+0.21,+0.54,+0.15
Safety2,p1,os_simple,-0.00,+0.01,+0.06,-0.09,+0.05,+0.03,-0.11,+0.00,+0.23,-0.05,+0.27,-0.09,+0.19,+0.51,+0.10
Safety2,p2,os_simple,-0.02,-0.01,+0.06,-0.11,+0.05,+0.03,-0.11,+0.00,+0.23,-0.05,+0.26,-0.10,+0.19,+0.51,+0.10
Safety2,p3,os_simple,-0.02,+0.00,+0.08,-0.14,+0.05,+0.03,-0.11,+0.00,+0.23,-0.05,+0.22,-0.08,+0.21,+0.49,+0.05
Safety3,p1,os_simple,-0.01,+0.01,+0.08,-0.11,+0.05,+0.05,-0.11,+0.00,+0.23,+0.00,+0.27,-0.09,+0.19,+0.51,+0.10
Safety3,p2,os_simple,+0.01,+0.01,+0.06,-0.06,+0.05,+0.05,-0.11,+0.00,+0.23,+0.00,+0.26,-0.08,+0.21,+0.49,+0.10
Safety3,p3,os_simple,-0.01,+0.00,+0.06,-0.11,+0.05,+0.07,-0.06,+0.00,+0.23,+0.05,+0.36,-0.07,+0.19,+0.49,+0.25
Safety,p1,os_classwise,-0.08,-0.00,+0.04,-0.26,+0.05,+0.06,-0.11,+0.00,+0.23,+0.05,+0.57,-0.18,+0.15,+0.74,+0.80
Safety,p2,os_classwise,-0.05,+0.03,+0.02,-0.17,+0.00,+0.06,-0.11,+0.00,+0.23,+0.05,+0.58,-0.18,+0.19,+0.77,+0.80
Safety,p3,os_classwise,-0.08,+0.00,+0.04,-0.26,+0.05,+0.08,-0.05,+0.02,+0.23,+0.05,+0.61,-0.18,+0.31,+0.77,+0.80
Safety1,p1,os_classwise,-0.08,+0.00,+0.04,-0.23,-0.05,+0.06,-0.11,+0.00,+0.23,+0.05,+0.55,-0.19,+0.12,+0.74,+0.80
Safety1,p2,os_classwise,-0.07,+0.01,+0.00,-0.23,+0.05,+0.06,-0.11,+0.00,+0.23,+0.05,+0.58,-0.19,+0.19,+0.74,+0.80
Safety1,p3,os_classwise,-0.11,+0.01,-0.02,-0.29,+0.00,+0.07,-0.06,+0.00,+0.23,+0.05,+0.60,-0.15,+0.25,+0.74,+0.80
Safety2,p1,os_classwise,-0.06,+0.00,+0.06,-0.20,+0.00,+0.06,-0.11,+0.00,+0.23,+0.05,+0.55,-0.19,+0.12,+0.74,+0.80
Safety2,p2,os_classwise,-0.04,+0.01,+0.06,-0.17,+0.00,+0.06,-0.11,+0.00,+0.23,+0.05,+0.57,-0.19,+0.17,+0.74,+0.80
Safety2,p3,os_classwise,-0.08,+0.01,+0.06,-0.26,+0.00,+0.06,-0.11,+0.00,+0.23,+0.05,+0.59,-0.17,+0.19,+0.77,+0.80
Safety3,p1,os_classwise,-0.06,-0.00,+0.02,-0.20,+0.05,+0.06,-0.11,+0.00,+0.23,+0.05,+0.56,-0.19,+0.10,+0.74,+0.85
Safety3,p2,os_classwise,-0.07,+0.04,+0.02,-0.26,+0.05,+0.06,-0.11,+0.00,+0.23,+0.05,+0.58,-0.19,+0.17,+0.77,+0.80
Safety3,p3,os_classwise,-0.08,+0.00,+0.06,-0.26,+0.00,+0.07,-0.06,+0.00,+0.23,+0.05,+0.61,-0.15,+0.27,+0.77,+0.80
