Safety,p,ov_method,CART_Gmean,CART_Max,CART_MinCART,CART_MinCART,3NN_Gmean,3NN_Max,3NN_Min3NN,3NN_Min3NN,LR_Gmean,LR_Max,LR_MinLR,LR_MinLR
-,-,-,0.91,0.97,0.94,0.83,0.83,0.99,0.71,0.80,0.90,0.99,0.94,0.77
Safety,p1,os_simple,0.89,0.97,0.83,0.87,0.87,0.95,0.86,0.80,0.95,0.98,1.00,0.87
Safety,p2,os_simple,0.88,0.97,0.80,0.87,0.87,0.95,0.86,0.80,0.95,0.98,1.00,0.87
Safety,p3,os_simple,0.89,0.97,0.83,0.87,0.87,0.95,0.86,0.80,0.92,0.98,1.00,0.80
Safety1,p1,os_simple,0.87,0.96,0.83,0.83,0.87,0.95,0.86,0.80,0.95,0.98,1.00,0.87
Safety1,p2,os_simple,0.91,0.96,0.91,0.87,0.87,0.95,0.86,0.80,0.95,0.98,1.00,0.87
Safety1,p3,os_simple,0.89,0.97,0.83,0.87,0.87,0.95,0.86,0.80,0.92,0.98,1.00,0.80
Safety2,p1,os_simple,0.89,0.97,0.83,0.87,0.87,0.95,0.86,0.80,0.95,0.98,1.00,0.87
Safety2,p2,os_simple,0.91,0.95,0.91,0.87,0.87,0.95,0.86,0.80,0.95,0.98,1.00,0.87
Safety2,p3,os_simple,0.88,0.96,0.83,0.87,0.87,0.95,0.86,0.80,0.95,0.98,1.00,0.87
Safety3,p1,os_simple,0.88,0.97,0.86,0.83,0.87,0.95,0.86,0.80,0.95,0.98,1.00,0.87
Safety3,p2,os_simple,0.88,0.95,0.83,0.87,0.87,0.95,0.86,0.80,0.95,0.98,1.00,0.87
Safety3,p3,os_simple,0.90,0.97,0.86,0.87,0.87,0.95,0.86,0.80,0.92,0.98,1.00,0.80
Safety,p1,os_classwise,0.91,0.98,0.91,0.83,0.87,0.95,0.86,0.80,0.96,0.97,1.00,0.90
Safety,p2,os_classwise,0.93,0.97,0.94,0.87,0.87,0.95,0.86,0.80,0.96,0.97,1.00,0.90
Safety,p3,os_classwise,0.91,0.97,0.94,0.83,0.87,0.95,0.86,0.80,0.94,0.97,1.00,0.87
Safety1,p1,os_classwise,0.90,0.97,0.91,0.83,0.87,0.95,0.86,0.80,0.96,0.97,1.00,0.90
Safety1,p2,os_classwise,0.91,0.97,0.91,0.83,0.87,0.95,0.86,0.80,0.96,0.97,1.00,0.90
Safety1,p3,os_classwise,0.87,0.97,0.86,0.80,0.87,0.95,0.86,0.80,0.94,0.97,1.00,0.87
Safety2,p1,os_classwise,0.91,0.97,0.89,0.87,0.87,0.95,0.86,0.80,0.96,0.97,1.00,0.90
Safety2,p2,os_classwise,0.90,0.98,0.89,0.83,0.87,0.95,0.86,0.80,0.96,0.97,1.00,0.90
Safety2,p3,os_classwise,0.89,0.95,0.89,0.83,0.87,0.95,0.86,0.80,0.96,0.97,1.00,0.90
Safety3,p1,os_classwise,0.88,0.97,0.89,0.80,0.87,0.95,0.86,0.80,0.96,0.97,1.00,0.90
Safety3,p2,os_classwise,0.90,0.97,0.91,0.83,0.87,0.95,0.86,0.80,0.96,0.97,1.00,0.90
Safety3,p3,os_classwise,0.91,0.97,0.94,0.83,0.87,0.95,0.86,0.80,0.94,0.97,1.00,0.87
