Safety,p,ov_method,CART_Gmean,CART_Max,CART_MinCART,CART_MinCART,3NN_Gmean,3NN_Max,3NN_Min3NN,3NN_Min3NN,LR_Gmean,LR_Max,LR_MinLR,LR_MinLR
-,-,-,+0.00,+0.00,+0.00,+0.00,+0.00,+0.00,+0.00,+0.00,+0.00,+0.00,+0.00,+0.00
Safety,p1,os_simple,-0.03,+0.00,-0.11,+0.03,+0.04,-0.04,+0.14,+0.00,+0.05,-0.01,+0.06,+0.10
Safety,p2,os_simple,-0.04,+0.00,-0.14,+0.03,+0.04,-0.04,+0.14,+0.00,+0.05,-0.01,+0.06,+0.10
Safety,p3,os_simple,-0.03,+0.00,-0.11,+0.03,+0.04,-0.04,+0.14,+0.00,+0.03,-0.01,+0.06,+0.03
Safety1,p1,os_simple,-0.04,-0.01,-0.11,+0.00,+0.04,-0.04,+0.14,+0.00,+0.05,-0.01,+0.06,+0.10
Safety1,p2,os_simple,+0.00,-0.01,-0.03,+0.03,+0.04,-0.04,+0.14,+0.00,+0.05,-0.01,+0.06,+0.10
Safety1,p3,os_simple,-0.02,+0.01,-0.11,+0.03,+0.04,-0.04,+0.14,+0.00,+0.03,-0.01,+0.06,+0.03
Safety2,p1,os_simple,-0.03,+0.00,-0.11,+0.03,+0.04,-0.04,+0.14,+0.00,+0.05,-0.01,+0.06,+0.10
Safety2,p2,os_simple,-0.00,-0.01,-0.03,+0.03,+0.04,-0.04,+0.14,+0.00,+0.05,-0.01,+0.06,+0.10
Safety2,p3,os_simple,-0.03,-0.01,-0.11,+0.03,+0.04,-0.04,+0.14,+0.00,+0.05,-0.01,+0.06,+0.10
Safety3,p1,os_simple,-0.03,+0.00,-0.09,+0.00,+0.04,-0.04,+0.14,+0.00,+0.05,-0.01,+0.06,+0.10
Safety3,p2,os_simple,-0.03,-0.01,-0.11,+0.03,+0.04,-0.04,+0.14,+0.00,+0.05,-0.01,+0.06,+0.10
Safety3,p3,os_simple,-0.01,+0.01,-0.09,+0.03,+0.04,-0.04,+0.14,+0.00,+0.03,-0.01,+0.06,+0.03
Safety,p1,os_classwise,-0.01,+0.01,-0.03,+0.00,+0.04,-0.04,+0.14,+0.00,+0.06,-0.02,+0.06,+0.13
Safety,p2,os_classwise,+0.01,+0.01,+0.00,+0.03,+0.04,-0.04,+0.14,+0.00,+0.06,-0.02,+0.06,+0.13
Safety,p3,os_classwise,+0.00,+0.01,+0.00,+0.00,+0.04,-0.04,+0.14,+0.00,+0.05,-0.02,+0.06,+0.10
Safety1,p1,os_classwise,-0.01,+0.00,-0.03,+0.00,+0.04,-0.04,+0.14,+0.00,+0.06,-0.02,+0.06,+0.13
Safety1,p2,os_classwise,-0.01,+0.01,-0.03,+0.00,+0.04,-0.04,+0.14,+0.00,+0.06,-0.02,+0.06,+0.13
Safety1,p3,os_classwise,-0.04,+0.00,-0.09,-0.03,+0.04,-0.04,+0.14,+0.00,+0.05,-0.02,+0.06,+0.10
Safety2,p1,os_classwise,-0.00,+0.01,-0.06,+0.03,+0.04,-0.04,+0.14,+0.00,+0.06,-0.02,+0.06,+0.13
Safety2,p2,os_classwise,-0.01,+0.01,-0.06,+0.00,+0.04,-0.04,+0.14,+0.00,+0.06,-0.02,+0.06,+0.13
Safety2,p3,os_classwise,-0.02,-0.01,-0.06,+0.00,+0.04,-0.04,+0.14,+0.00,+0.06,-0.02,+0.06,+0.13
Safety3,p1,os_classwise,-0.03,+0.01,-0.06,-0.03,+0.04,-0.04,+0.14,+0.00,+0.06,-0.02,+0.06,+0.13
Safety3,p2,os_classwise,-0.01,+0.00,-0.03,+0.00,+0.04,-0.04,+0.14,+0.00,+0.06,-0.02,+0.06,+0.13
Safety3,p3,os_classwise,+0.00,+0.01,+0.00,+0.00,+0.04,-0.04,+0.14,+0.00,+0.05,-0.02,+0.06,+0.10
