Safety,p,ov_method,CART_Gmean,CART_Max,CART_MinCART,CART_MinCART,3NN_Gmean,3NN_Max,3NN_Min3NN,3NN_Min3NN,LR_Gmean,LR_Max,LR_MinLR,LR_MinLR
-,-,-,0.00,0.93,0.13,0.00,0.00,1.00,0.02,0.00,0.00,1.00,0.00,0.00
Safety,p1,os_simple,0.00,0.95,0.09,0.00,0.17,0.92,0.06,0.10,0.00,0.93,0.28,0.00
Safety,p2,os_simple,0.00,0.96,0.09,0.00,0.17,0.92,0.06,0.10,0.00,0.93,0.30,0.00
Safety,p3,os_simple,0.22,0.94,0.11,0.10,0.00,0.99,0.04,0.00,0.00,0.90,0.32,0.00
Safety1,p1,os_simple,0.00,0.95,0.08,0.00,0.17,0.92,0.06,0.10,0.00,0.93,0.32,0.00
Safety1,p2,os_simple,0.00,0.96,0.09,0.00,0.17,0.92,0.06,0.10,0.00,0.93,0.30,0.00
Safety1,p3,os_simple,0.23,0.96,0.13,0.10,0.15,0.98,0.04,0.10,0.33,0.92,0.13,0.30
Safety2,p1,os_simple,0.19,0.95,0.08,0.10,0.17,0.92,0.06,0.10,0.00,0.93,0.30,0.00
Safety2,p2,os_simple,0.00,0.95,0.11,0.00,0.17,0.92,0.06,0.10,0.00,0.93,0.30,0.00
Safety2,p3,os_simple,0.22,0.95,0.11,0.10,0.17,0.92,0.06,0.10,0.00,0.93,0.30,0.00
Safety3,p1,os_simple,0.00,0.95,0.11,0.00,0.17,0.92,0.06,0.10,0.00,0.93,0.30,0.00
Safety3,p2,os_simple,0.00,0.94,0.11,0.00,0.17,0.92,0.06,0.10,0.00,0.93,0.30,0.00
Safety3,p3,os_simple,0.00,0.96,0.04,0.00,0.15,0.98,0.04,0.10,0.38,0.92,0.21,0.30
Safety,p1,os_classwise,0.00,0.95,0.15,0.00,0.17,0.92,0.06,0.10,0.39,0.90,0.17,0.40
Safety,p2,os_classwise,0.00,0.95,0.13,0.00,0.17,0.92,0.06,0.10,0.38,0.90,0.15,0.40
Safety,p3,os_classwise,0.00,0.95,0.06,0.00,0.00,0.99,0.04,0.00,0.31,0.90,0.32,0.10
Safety1,p1,os_classwise,0.00,0.94,0.09,0.00,0.17,0.92,0.06,0.10,0.38,0.90,0.15,0.40
Safety1,p2,os_classwise,0.00,0.94,0.15,0.00,0.17,0.92,0.06,0.10,0.38,0.90,0.15,0.40
Safety1,p3,os_classwise,0.00,0.96,0.11,0.00,0.15,0.98,0.04,0.10,0.43,0.88,0.23,0.40
Safety2,p1,os_classwise,0.00,0.95,0.08,0.00,0.17,0.92,0.06,0.10,0.36,0.90,0.13,0.40
Safety2,p2,os_classwise,0.00,0.95,0.19,0.00,0.17,0.92,0.06,0.10,0.38,0.90,0.15,0.40
Safety2,p3,os_classwise,0.00,0.95,0.13,0.00,0.17,0.92,0.06,0.10,0.36,0.90,0.13,0.40
Safety3,p1,os_classwise,0.00,0.94,0.15,0.00,0.17,0.92,0.06,0.10,0.36,0.90,0.13,0.40
Safety3,p2,os_classwise,0.00,0.95,0.13,0.00,0.17,0.92,0.06,0.10,0.38,0.90,0.15,0.40
Safety3,p3,os_classwise,0.19,0.96,0.08,0.10,0.15,0.98,0.04,0.10,0.43,0.88,0.23,0.40
