Safety,p,ov_method,CART_Gmean,CART_Max,CART_MinCART,CART_MinCART,CART_MinCART,CART_MinCART,CART_MinCART,3NN_Gmean,3NN_Max,3NN_Min3NN,3NN_Min3NN,3NN_Min3NN,3NN_Min3NN,3NN_Min3NN,LR_Gmean,LR_Max,LR_MinLR,LR_MinLR,LR_MinLR,LR_MinLR,LR_MinLR
-,-,-,0.00,0.94,0.45,0.73,0.46,0.00,0.25,0.00,0.99,0.27,0.68,0.51,0.00,0.50,0.00,1.00,0.00,0.14,0.00,0.00,0.10
Safety,p1,os_simple,0.28,0.94,0.27,0.77,0.46,0.03,0.15,0.43,0.91,0.31,0.61,0.51,0.13,0.50,0.00,0.99,0.45,0.20,0.17,0.00,0.45
Safety,p2,os_simple,0.39,0.94,0.33,0.84,0.43,0.10,0.30,0.43,0.91,0.31,0.61,0.51,0.13,0.50,0.00,0.99,0.37,0.41,0.20,0.00,0.45
Safety,p3,os_simple,0.32,0.93,0.35,0.66,0.46,0.07,0.15,0.45,0.97,0.35,0.68,0.54,0.13,0.50,0.00,0.99,0.24,0.77,0.29,0.00,0.45
Safety1,p1,os_simple,0.31,0.95,0.22,0.66,0.49,0.07,0.20,0.42,0.91,0.31,0.61,0.46,0.13,0.50,0.00,0.99,0.49,0.14,0.14,0.00,0.45
Safety1,p2,os_simple,0.33,0.94,0.27,0.70,0.49,0.10,0.15,0.42,0.91,0.31,0.61,0.49,0.13,0.50,0.00,0.99,0.51,0.23,0.17,0.00,0.45
Safety1,p3,os_simple,0.28,0.94,0.33,0.73,0.46,0.03,0.15,0.43,0.96,0.31,0.61,0.51,0.13,0.50,0.00,0.99,0.45,0.52,0.11,0.00,0.45
Safety2,p1,os_simple,0.38,0.94,0.37,0.66,0.49,0.10,0.25,0.43,0.91,0.31,0.61,0.51,0.13,0.50,0.00,0.99,0.49,0.16,0.20,0.00,0.45
Safety2,p2,os_simple,0.35,0.94,0.22,0.64,0.43,0.13,0.25,0.43,0.91,0.31,0.61,0.51,0.13,0.50,0.00,0.99,0.51,0.18,0.17,0.00,0.45
Safety2,p3,os_simple,0.00,0.93,0.37,0.80,0.40,0.00,0.25,0.43,0.91,0.31,0.61,0.51,0.13,0.50,0.00,0.99,0.41,0.43,0.17,0.00,0.45
Safety3,p1,os_simple,0.34,0.94,0.29,0.68,0.43,0.10,0.20,0.43,0.91,0.31,0.61,0.51,0.13,0.50,0.00,0.99,0.49,0.16,0.20,0.00,0.45
Safety3,p2,os_simple,0.00,0.94,0.41,0.80,0.43,0.00,0.20,0.43,0.91,0.31,0.61,0.51,0.13,0.50,0.00,0.99,0.47,0.41,0.17,0.00,0.45
Safety3,p3,os_simple,0.00,0.93,0.25,0.75,0.54,0.00,0.20,0.43,0.96,0.31,0.61,0.51,0.13,0.50,0.00,0.99,0.35,0.66,0.17,0.00,0.45
Safety,p1,os_classwise,0.34,0.94,0.29,0.75,0.46,0.07,0.25,0.43,0.91,0.31,0.61,0.51,0.13,0.50,0.43,0.89,0.39,0.75,0.66,0.07,0.55
Safety,p2,os_classwise,0.31,0.95,0.25,0.70,0.40,0.07,0.20,0.43,0.91,0.31,0.61,0.51,0.13,0.50,0.43,0.89,0.41,0.75,0.66,0.07,0.55
Safety,p3,os_classwise,0.31,0.93,0.27,0.64,0.40,0.07,0.20,0.45,0.97,0.35,0.68,0.54,0.13,0.50,0.53,0.89,0.47,0.70,0.66,0.23,0.50
Safety1,p1,os_classwise,0.32,0.94,0.29,0.61,0.40,0.10,0.15,0.43,0.91,0.31,0.61,0.51,0.13,0.50,0.41,0.86,0.27,0.89,0.60,0.07,0.55
Safety1,p2,os_classwise,0.34,0.95,0.39,0.61,0.49,0.07,0.20,0.43,0.91,0.31,0.61,0.51,0.13,0.50,0.37,0.87,0.33,0.80,0.63,0.03,0.55
Safety1,p3,os_classwise,0.29,0.93,0.25,0.64,0.37,0.07,0.15,0.43,0.96,0.31,0.61,0.51,0.13,0.50,0.49,0.93,0.37,0.70,0.66,0.17,0.55
Safety2,p1,os_classwise,0.32,0.93,0.33,0.61,0.46,0.07,0.20,0.43,0.91,0.31,0.61,0.51,0.13,0.50,0.37,0.87,0.31,0.84,0.60,0.03,0.55
Safety2,p2,os_classwise,0.33,0.95,0.33,0.64,0.49,0.07,0.20,0.43,0.91,0.31,0.61,0.51,0.13,0.50,0.37,0.87,0.33,0.77,0.63,0.03,0.55
Safety2,p3,os_classwise,0.32,0.94,0.27,0.55,0.54,0.07,0.20,0.43,0.91,0.31,0.61,0.51,0.13,0.50,0.48,0.89,0.39,0.75,0.66,0.13,0.55
Safety3,p1,os_classwise,0.34,0.93,0.33,0.59,0.49,0.07,0.25,0.43,0.91,0.31,0.61,0.51,0.13,0.50,0.37,0.87,0.31,0.80,0.60,0.03,0.55
Safety3,p2,os_classwise,0.34,0.94,0.29,0.73,0.43,0.07,0.25,0.43,0.91,0.31,0.61,0.51,0.13,0.50,0.43,0.89,0.39,0.75,0.66,0.07,0.55
Safety3,p3,os_classwise,0.30,0.93,0.27,0.73,0.40,0.07,0.15,0.43,0.96,0.31,0.61,0.51,0.13,0.50,0.52,0.93,0.45,0.66,0.66,0.20,0.55
